owner_id,auc_val,auc_test,eer_test,far_at_eer,frr_at_eer,thr,n_train_pos,n_train_neg,n_val,n_test,run,seed
user16,0.9565217391304348,1.0,0.0,0.0,0.0,0.5823953151702881,4,92,24,24,5,47
user17,1.0,1.0,0.0,0.0,0.0,0.8444424867630005,4,92,24,24,5,47
user18,1.0,1.0,0.0,0.0,0.0,0.6664947867393494,4,92,24,24,5,47
user19,0.9565217391304348,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.551724690458049,4,92,24,24,5,47
user2,0.6086956521739131,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.14363372261109558,4,92,24,24,5,47
user20,1.0,0.5217391304347826,0.4782608695652174,0.478260869563138,0.9999999999,0.019293648474242375,4,92,24,24,5,47
user21,1.0,1.0,0.0,0.0,0.0,0.6609739065170288,4,92,24,24,5,47
user22,1.0,0.9565217391304347,0.043478260869565216,0.04347826086937619,0.9999999999,0.39473744060682214,4,92,24,24,5,47
user23,1.0,1.0,0.0,0.0,0.0,0.5250038504600525,4,92,24,24,5,47
user24,0.9565217391304348,1.0,0.0,0.0,0.0,0.4282698929309845,4,92,24,24,5,47
user25,0.9130434782608696,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.3607874538587487,4,92,24,24,5,47
user3,0.9565217391304348,1.0,0.0,0.0,0.0,0.6171668171882629,4,92,24,24,5,47
user4,0.9565217391304348,1.0,0.0,0.0,0.0,0.352459192276001,4,92,24,24,5,47
user5,1.0,1.0,0.0,0.0,0.0,0.6092484593391418,4,92,24,24,5,47
user6,1.0,1.0,0.0,0.0,0.0,0.5010073781013489,4,92,24,24,5,47
user7,1.0,1.0,0.0,0.0,0.0,0.448075532913208,4,92,24,24,5,47
user8,1.0,1.0,0.0,0.0,0.0,0.32950127124786377,4,92,24,24,5,47
user9,1.0,1.0,0.0,0.0,0.0,0.5154159069061279,4,92,24,24,5,47
user1,1.0,1.0,0.0,0.0,0.0,0.6755781173706055,4,92,24,24,6,48
user10,1.0,1.0,0.0,0.0,0.0,0.5021006464958191,4,92,24,24,6,48
user12,1.0,1.0,0.0,0.0,0.0,0.28681832551956177,4,92,24,24,6,48
user13,1.0,0.7391304347826088,0.2608695652173913,0.2608695652162571,0.9999999999,0.059364570709674255,4,92,24,24,6,48
user14,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.34011664857035095,4,92,24,24,6,48
user15,0.9565217391304348,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.2726591048033341,4,92,24,24,6,48
user16,1.0,0.6086956521739131,0.391304347826087,0.39130434782438567,0.9999999999,0.03716414405599884,4,92,24,24,6,48
user17,1.0,1.0,0.0,0.0,0.0,0.8336507081985474,4,92,24,24,6,48
user18,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.2567750876364501,4,92,24,24,6,48
user19,1.0,0.9130434782608696,0.08695652173913043,0.08695652173875237,0.9999999999,0.17919357380141382,4,92,24,24,6,48
user2,0.9130434782608695,0.8260869565217391,0.17391304347826086,0.17391304347750475,0.9999999999,0.1150247564782267,4,92,24,24,6,48
user20,1.0,1.0,0.0,0.0,0.0,0.4626588821411133,4,92,24,24,6,48
user21,1.0,1.0,0.0,0.0,0.0,0.726270318031311,4,92,24,24,6,48
user22,1.0,1.0,0.0,0.0,0.0,0.520073652267456,4,92,24,24,6,48
user23,1.0,1.0,0.0,0.0,0.0,0.2543189525604248,4,92,24,24,6,48
user24,1.0,1.0,0.0,0.0,0.0,0.4647071361541748,4,92,24,24,6,48
user25,0.9130434782608696,1.0,0.0,0.0,0.0,0.45431873202323914,4,92,24,24,6,48
user3,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.08022395553796188,4,92,24,24,6,48
user4,1.0,1.0,0.0,0.0,0.0,0.5211670994758606,4,92,24,24,6,48
user5,1.0,1.0,0.0,0.0,0.0,0.3407241106033325,4,92,24,24,6,48
user6,1.0,1.0,0.0,0.0,0.0,0.5594903230667114,4,92,24,24,6,48
user7,1.0,1.0,0.0,0.0,0.0,0.41775551438331604,4,92,24,24,6,48
user8,1.0,1.0,0.0,0.0,0.0,0.6237925887107849,4,92,24,24,6,48
user9,1.0,1.0,0.0,0.0,0.0,0.5064292550086975,4,92,24,24,6,48
user1,1.0,1.0,0.0,0.0,0.0,0.4428679943084717,4,92,24,24,7,49
user10,1.0,1.0,0.0,0.0,0.0,0.6109616756439209,4,92,24,24,7,49
user12,1.0,1.0,0.0,0.0,0.0,0.5293304324150085,4,92,24,24,7,49
user13,1.0,1.0,0.0,0.0,0.0,0.3509492576122284,4,92,24,24,7,49
user14,1.0,1.0,0.0,0.0,0.0,0.4950573742389679,4,92,24,24,7,49
user15,0.9565217391304348,1.0,0.0,0.0,0.0,0.3050488233566284,4,92,24,24,7,49
user16,0.9130434782608695,1.0,0.0,0.0,0.0,0.42789745330810547,4,92,24,24,7,49
user17,1.0,1.0,0.0,0.0,0.0,0.9057732820510864,4,92,24,24,7,49
user18,1.0,1.0,0.0,0.0,0.0,0.6069097518920898,4,92,24,24,7,49
user19,0.9565217391304348,1.0,0.0,0.0,0.0,0.5068459510803223,4,92,24,24,7,49
user2,1.0,1.0,0.0,0.0,0.0,0.49302852153778076,4,92,24,24,7,49
user20,0.8695652173913043,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.2935982061469037,4,92,24,24,7,49
user21,1.0,1.0,0.0,0.0,0.0,0.7230557799339294,4,92,24,24,7,49
user22,1.0,1.0,0.0,0.0,0.0,0.6328504681587219,4,92,24,24,7,49
user23,0.9565217391304348,1.0,0.0,0.0,0.0,0.3280537724494934,4,92,24,24,7,49
user24,1.0,1.0,0.0,0.0,0.0,0.28311043977737427,4,92,24,24,7,49
user25,1.0,1.0,0.0,0.0,0.0,0.4607432782649994,4,92,24,24,7,49
user3,1.0,1.0,0.0,0.0,0.0,0.7880028486251831,4,92,24,24,7,49
user4,0.8695652173913043,0.8695652173913043,0.13043478260869565,0.13043478260812855,0.9999999999,0.15866615849992505,4,92,24,24,7,49
user5,1.0,1.0,0.0,0.0,0.0,0.36277902126312256,4,92,24,24,7,49
user6,1.0,1.0,0.0,0.0,0.0,0.43100371956825256,4,92,24,24,7,49
user7,0.8695652173913043,1.0,0.0,0.0,0.0,0.3564754128456116,4,92,24,24,7,49
user8,0.7391304347826088,1.0,0.0,0.0,0.0,0.24477247893810272,4,92,24,24,7,49
user9,1.0,1.0,0.0,0.0,0.0,0.8010278940200806,4,92,24,24,7,49
user1,1.0,1.0,0.0,0.0,0.0,0.2568961977958679,4,92,24,24,8,50
user10,0.9565217391304348,1.0,0.0,0.0,0.0,0.2739761471748352,4,92,24,24,8,50
user12,1.0,0.9130434782608695,0.08695652173913043,0.08695652173875237,0.9999999999,0.16833868881930475,4,92,24,24,8,50
user13,1.0,0.8695652173913043,0.13043478260869565,0.13043478260812855,0.9999999999,0.11723633564036826,4,92,24,24,8,50
user14,1.0,1.0,0.0,0.0,0.0,0.37870895862579346,4,92,24,24,8,50
user15,0.5217391304347826,1.0,0.0,0.0,0.0,0.30157092213630676,4,92,24,24,8,50
user16,0.34782608695652173,1.0,0.0,0.0,0.0,0.6033711433410645,4,92,24,24,8,50
user17,1.0,1.0,0.0,0.0,0.0,0.8950028419494629,4,92,24,24,8,50
user18,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.3700567380241726,4,92,24,24,8,50
user19,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.2385810367439104,4,92,24,24,8,50
