owner_id,auc_val,auc_test,eer_test,far_at_eer,frr_at_eer,thr,n_train_pos,n_train_neg,n_val,n_test,run,seed
user21,1.0,1.0,0.0,0.0,0.0,0.5649999976158142,4,92,24,24,2,44
user22,1.0,1.0,0.0,0.0,0.0,0.4350000023841858,4,92,24,24,2,44
user23,1.0,1.0,0.0,0.0,0.0,0.1550000011920929,4,92,24,24,2,44
user24,1.0,0.6304347826086957,0.375,0.3478260869550095,0.9999999999,0.011874999734573066,4,92,24,24,2,44
user25,1.0,1.0,0.0,0.0,0.0,0.28999999165534973,4,92,24,24,2,44
user3,1.0,1.0,0.0,0.0,0.0,0.7300000190734863,4,92,24,24,2,44
user4,1.0,0.8695652173913043,0.13043478260869565,0.13043478260812855,0.9999999999,0.22130434733370075,4,92,24,24,2,44
user5,0.9565217391304347,1.0,0.0,0.0,0.0,0.45500001311302185,4,92,24,24,2,44
user6,1.0,1.0,0.0,0.0,0.0,0.3400000035762787,4,92,24,24,2,44
user7,1.0,1.0,0.0,0.0,0.0,0.22499999403953552,4,92,24,24,2,44
user8,1.0,1.0,0.0,0.0,0.0,0.2800000011920929,4,92,24,24,2,44
user9,1.0,1.0,0.0,0.0,0.0,0.6150000095367432,4,92,24,24,2,44
user1,1.0,1.0,0.0,0.0,0.0,0.49000000953674316,4,92,24,24,3,45
user10,1.0,1.0,0.0,0.0,0.0,0.4699999988079071,4,92,24,24,3,45
user12,0.9130434782608696,1.0,0.0,0.0,0.0,0.5950000286102295,4,92,24,24,3,45
user13,1.0,0.9565217391304347,0.043478260869565216,0.04347826086937619,0.9999999999,0.05456521459247754,4,92,24,24,3,45
user14,1.0,1.0,0.0,0.0,0.0,0.375,4,92,24,24,3,45
user15,1.0,0.7608695652173912,0.25,0.21739130434688092,0.9999999999,0.07500000111758709,4,92,24,24,3,45
user16,1.0,1.0,0.0,0.0,0.0,0.4449999928474426,4,92,24,24,3,45
user17,1.0,1.0,0.0,0.0,0.0,0.7699999809265137,4,92,24,24,3,45
user18,1.0,1.0,0.0,0.0,0.0,0.6399999856948853,4,92,24,24,3,45
user19,1.0,1.0,0.0,0.0,0.0,0.36000001430511475,4,92,24,24,3,45
user2,0.9565217391304348,0.5869565217391304,0.4166666666666667,0.39130434782438567,0.9999999999,0.027083333271245163,4,92,24,24,3,45
user20,1.0,1.0,0.0,0.0,0.0,0.4449999928474426,4,92,24,24,3,45
user21,1.0,1.0,0.0,0.0,0.0,0.5299999713897705,4,92,24,24,3,45
user22,1.0,1.0,0.0,0.0,0.0,0.6800000071525574,4,92,24,24,3,45
user23,1.0,1.0,0.0,0.0,0.0,0.42500001192092896,4,92,24,24,3,45
user24,0.9782608695652174,1.0,0.0,0.0,0.0,0.4050000011920929,4,92,24,24,3,45
user25,1.0,1.0,0.0,0.0,0.0,0.33000001311302185,4,92,24,24,3,45
user3,1.0,1.0,0.0,0.0,0.0,0.8299999833106995,4,92,24,24,3,45
user4,0.9565217391304348,1.0,0.0,0.0,0.0,0.33500000834465027,4,92,24,24,3,45
user5,0.9565217391304348,1.0,0.0,0.0,0.0,0.5350000262260437,4,92,24,24,3,45
user6,1.0,1.0,0.0,0.0,0.0,0.4449999928474426,4,92,24,24,3,45
user7,1.0,1.0,0.0,0.0,0.0,0.5199999809265137,4,92,24,24,3,45
user8,1.0,1.0,0.0,0.0,0.0,0.46000000834465027,4,92,24,24,3,45
user9,1.0,1.0,0.0,0.0,0.0,0.4000000059604645,4,92,24,24,3,45
user1,1.0,1.0,0.0,0.0,0.0,0.30000001192092896,4,92,24,24,4,46
user10,1.0,1.0,0.0,0.0,0.0,0.4300000071525574,4,92,24,24,4,46
user12,1.0,1.0,0.0,0.0,0.0,0.3700000047683716,4,92,24,24,4,46
user13,1.0,1.0,0.0,0.0,0.0,0.22499999403953552,4,92,24,24,4,46
user14,1.0,1.0,0.0,0.0,0.0,0.3449999988079071,4,92,24,24,4,46
user15,0.9999999999999999,0.891304347826087,0.125,0.08695652173875237,0.9999999999,0.09187500271946192,4,92,24,24,4,46
user16,0.9565217391304348,1.0,0.0,0.0,0.0,0.3199999928474426,4,92,24,24,4,46
user17,1.0,1.0,0.0,0.0,0.0,0.7850000262260437,4,92,24,24,4,46
user18,1.0,1.0,0.0,0.0,0.0,0.4699999988079071,4,92,24,24,4,46
user19,0.9565217391304348,1.0,0.0,0.0,0.0,0.4449999928474426,4,92,24,24,4,46
user2,0.8695652173913043,1.0,0.0,0.0,0.0,0.17499999701976776,4,92,24,24,4,46
user20,1.0,0.5434782608695652,0.4583333333333333,0.43478260869376184,0.9999999999,0.0172916662801678,4,92,24,24,4,46
user21,1.0,1.0,0.0,0.0,0.0,0.5600000023841858,4,92,24,24,4,46
user22,1.0,1.0,0.0,0.0,0.0,0.4449999928474426,4,92,24,24,4,46
user23,1.0,1.0,0.0,0.0,0.0,0.36500000953674316,4,92,24,24,4,46
user24,0.9565217391304348,1.0,0.0,0.0,0.0,0.46000000834465027,4,92,24,24,4,46
user25,1.0,1.0,0.0,0.0,0.0,0.38999998569488525,4,92,24,24,4,46
user3,0.9130434782608696,1.0,0.0,0.0,0.0,0.7300000190734863,4,92,24,24,4,46
user4,0.9565217391304348,0.8695652173913044,0.13043478260869565,0.13043478260812855,0.9999999999,0.12956521692483322,4,92,24,24,4,46
user5,0.6521739130434783,1.0,0.0,0.0,0.0,0.3199999928474426,4,92,24,24,4,46
user6,1.0,1.0,0.0,0.0,0.0,0.38499999046325684,4,92,24,24,4,46
user7,1.0,1.0,0.0,0.0,0.0,0.4300000071525574,4,92,24,24,4,46
user8,1.0,1.0,0.0,0.0,0.0,0.5699999928474426,4,92,24,24,4,46
user9,1.0,1.0,0.0,0.0,0.0,0.6499999761581421,4,92,24,24,4,46
user1,1.0,1.0,0.0,0.0,0.0,0.41999998688697815,4,92,24,24,5,47
user10,1.0,1.0,0.0,0.0,0.0,0.48500001430511475,4,92,24,24,5,47
user12,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.09630434668582419,4,92,24,24,5,47
user13,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.1617391271435696,4,92,24,24,5,47
user14,1.0,1.0,0.0,0.0,0.0,0.4399999976158142,4,92,24,24,5,47
user15,0.9130434782608696,0.9130434782608696,0.08695652173913043,0.08695652173875237,0.9999999999,0.18673913245615753,4,92,24,24,5,47
user16,1.0,1.0,0.0,0.0,0.0,0.5400000214576721,4,92,24,24,5,47
user17,1.0,1.0,0.0,0.0,0.0,0.8550000190734863,4,92,24,24,5,47
user18,1.0,1.0,0.0,0.0,0.0,0.47999998927116394,4,92,24,24,5,47
user19,1.0,1.0,0.0,0.0,0.0,0.5,4,92,24,24,5,47
user2,0.6521739130434783,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.10586956208166869,4,92,24,24,5,47
user20,1.0,0.717391304347826,0.2916666666666667,0.2608695652162571,0.9999999999,0.022916666154439252,4,92,24,24,5,47
user21,1.0,1.0,0.0,0.0,0.0,0.5299999713897705,4,92,24,24,5,47
user22,1.0,1.0,0.0,0.0,0.0,0.3149999976158142,4,92,24,24,5,47
user23,1.0,1.0,0.0,0.0,0.0,0.48500001430511475,4,92,24,24,5,47
user24,0.9565217391304348,1.0,0.0,0.0,0.0,0.38499999046325684,4,92,24,24,5,47
user25,0.9347826086956521,1.0,0.0,0.0,0.0,0.3149999976158142,4,92,24,24,5,47
user3,0.8695652173913043,1.0,0.0,0.0,0.0,0.5299999713897705,4,92,24,24,5,47
user4,1.0,1.0,0.0,0.0,0.0,0.2750000059604645,4,92,24,24,5,47
user5,1.0,1.0,0.0,0.0,0.0,0.5849999785423279,4,92,24,24,5,47
user6,1.0,1.0,0.0,0.0,0.0,0.4399999976158142,4,92,24,24,5,47
user7,1.0,1.0,0.0,0.0,0.0,0.4300000071525574,4,92,24,24,5,47
user8,1.0,1.0,0.0,0.0,0.0,0.2750000059604645,4,92,24,24,5,47
user9,1.0,1.0,0.0,0.0,0.0,0.4399999976158142,4,92,24,24,5,47
user1,1.0,1.0,0.0,0.0,0.0,0.6449999809265137,4,92,24,24,6,48
user10,1.0,1.0,0.0,0.0,0.0,0.47999998927116394,4,92,24,24,6,48
user12,1.0,1.0,0.0,0.0,0.0,0.23999999463558197,4,92,24,24,6,48
user13,1.0,0.8913043478260869,0.125,0.08695652173875237,0.9999999999,0.04499999899417161,4,92,24,24,6,48
user14,1.0,1.0,0.0,0.0,0.0,0.28999999165534973,4,92,24,24,6,48
user15,1.0,0.9565217391304347,0.043478260869565216,0.04347826086937619,0.9999999999,0.17673912773961606,4,92,24,24,6,48
user16,1.0,0.6956521739130435,0.32,0.2608695652162571,0.9999999999,0.02660000003874302,4,92,24,24,6,48
user17,1.0,1.0,0.0,0.0,0.0,0.8399999737739563,4,92,24,24,6,48
user18,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.11630434964014136,4,92,24,24,6,48
user19,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.14086956563203232,4,92,24,24,6,48
user2,0.9130434782608695,0.8695652173913043,0.13043478260869565,0.13043478260812855,0.9999999999,0.06565217187871103,4,92,24,24,6,48
user20,1.0,1.0,0.0,0.0,0.0,0.4000000059604645,4,92,24,24,6,48
user21,1.0,1.0,0.0,0.0,0.0,0.6449999809265137,4,92,24,24,6,48
user22,1.0,1.0,0.0,0.0,0.0,0.4399999976158142,4,92,24,24,6,48
user23,1.0,1.0,0.0,0.0,0.0,0.2150000035762787,4,92,24,24,6,48
user24,1.0,1.0,0.0,0.0,0.0,0.3400000035762787,4,92,24,24,6,48
user25,0.9130434782608696,1.0,0.0,0.0,0.0,0.4399999976158142,4,92,24,24,6,48
user3,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.03608695773974707,4,92,24,24,6,48
user4,1.0,1.0,0.0,0.0,0.0,0.47999998927116394,4,92,24,24,6,48
user5,1.0,1.0,0.0,0.0,0.0,0.2849999964237213,4,92,24,24,6,48
user6,1.0,1.0,0.0,0.0,0.0,0.5249999761581421,4,92,24,24,6,48
user7,1.0,1.0,0.0,0.0,0.0,0.38999998569488525,4,92,24,24,6,48
user8,1.0,1.0,0.0,0.0,0.0,0.5950000286102295,4,92,24,24,6,48
user9,1.0,1.0,0.0,0.0,0.0,0.4399999976158142,4,92,24,24,6,48
user1,1.0,1.0,0.0,0.0,0.0,0.41999998688697815,4,92,24,24,7,49
user10,1.0,1.0,0.0,0.0,0.0,0.5849999785423279,4,92,24,24,7,49
user12,1.0,1.0,0.0,0.0,0.0,0.5099999904632568,4,92,24,24,7,49
user13,1.0,1.0,0.0,0.0,0.0,0.25,4,92,24,24,7,49
user14,1.0,1.0,0.0,0.0,0.0,0.5,4,92,24,24,7,49
user15,0.9565217391304347,1.0,0.0,0.0,0.0,0.24500000476837158,4,92,24,24,7,49
user16,0.9565217391304348,1.0,0.0,0.0,0.0,0.4099999964237213,4,92,24,24,7,49
user17,1.0,1.0,0.0,0.0,0.0,0.9100000262260437,4,92,24,24,7,49
